customer_id,first_name,last_name,email,city,state,country,added_date,added_by,is_active
1,Mark,Chen,margaretclarke@example.com,Jamieburgh,New Jersey,Tuvalu,2025-11-07,ADMIN,0
2,Virginia,Martin,stephanieramsey@example.com,Hullbury,Rhode Island,Saint Kitts and Nevis,2026-04-22,ADMIN,1
3,Jessica,Bell,jessicaswanson@example.com,Jamesside,Indiana,Afghanistan,2025-03-15,ADMIN,0
4,Ashley,Brown,kevin90@example.net,South Karen,Kansas,Chad,2024-12-22,ADMIN,0
5,Natasha,Harvey,alec63@example.org,New Susan,Alabama,Nauru,2026-03-31,ADMIN,0
6,Wesley,Vasquez,christine58@example.org,West Virginiachester,Kentucky,Portugal,2024-07-19,ADMIN,1
7,David,Nelson,christopherbooth@example.com,Desireefurt,Massachusetts,Mongolia,2026-02-08,ADMIN,0
8,Jacqueline,Cooper,betty14@example.net,Lake Kimberly,Massachusetts,Russian Federation,2024-09-15,ADMIN,0
9,Jim,Gonzalez,lbradley@example.org,Martinezside,Tennessee,United States of America,2026-02-11,ADMIN,0
10,Tammy,Gill,joy16@example.org,Jillport,Arizona,Heard Island and McDonald Islands,2026-02-17,ADMIN,1
11,Teresa,Marshall,lhoward@example.net,Steeleburgh,Wyoming,Marshall Islands,2026-02-06,ADMIN,0
12,Nicole,Miller,catherinepierce@example.net,Lisaborough,West Virginia,Montserrat,2025-09-20,ADMIN,0
13,Phyllis,Roberson,klineemily@example.org,South Jamesville,Delaware,Niue,2025-03-11,ADMIN,0
14,Richard,Smith,bradley61@example.org,South Julie,Texas,Ethiopia,2025-07-16,ADMIN,0
15,Matthew,Hall,carolyn73@example.org,Snowhaven,Vermont,Serbia,2024-10-29,ADMIN,1
16,Michelle,Price,lisawhite@example.org,Nicolechester,Kentucky,Chad,2025-05-13,ADMIN,0
17,Drew,Nelson,sarahharris@example.org,West Josephburgh,Utah,Turks and Caicos Islands,2024-12-04,ADMIN,1
18,Stephen,Baker,smithkimberly@example.com,West Christopher,New Hampshire,Germany,2025-04-04,ADMIN,1
19,Richard,Mahoney,redwards@example.com,Lake Adrianfurt,Oregon,China,2024-06-01,ADMIN,1
20,Tyler,Smith,jeremiah73@example.net,West Christinaport,Utah,Montenegro,2025-06-27,ADMIN,0
21,Alan,Meyer,athompson@example.org,Port Matthewport,Texas,Colombia,2026-05-09,ADMIN,1
22,Holly,Martinez,rvasquez@example.org,Nguyenhaven,New Mexico,Singapore,2026-01-19,ADMIN,0
23,Deborah,Bruce,raysteele@example.com,East Brian,South Dakota,Palau,2024-08-21,ADMIN,1
24,Paul,Robinson,melendezsamantha@example.net,Jacksonton,Arizona,Czech Republic,2026-01-09,ADMIN,1
25,Holly,French,owatson@example.org,Alexistown,Kansas,Bahamas,2025-02-26,ADMIN,1
26,Patricia,Solomon,melissa66@example.net,North Donnamouth,Tennessee,Ukraine,2024-09-17,ADMIN,1
27,Garrett,Salazar,wbrandt@example.net,Rosstown,Alaska,Netherlands Antilles,2025-11-06,ADMIN,1
28,Benjamin,Wells,ryantaylor@example.net,Hobbsborough,Utah,American Samoa,2025-04-30,ADMIN,1
29,Corey,Rosales,andrew40@example.com,East Michaelport,Connecticut,Saint Barthelemy,2025-09-07,ADMIN,1
30,Christian,Smith,ubrown@example.com,Danielhaven,Kentucky,Bermuda,2026-03-31,ADMIN,1
31,Cynthia,Gamble,gdavis@example.net,Daniellefort,Rhode Island,French Polynesia,2025-09-04,ADMIN,0
32,Jessica,Boyd,pattywillis@example.net,Danielland,Montana,South Africa,2024-06-15,ADMIN,0
33,Michael,Goodman,johnjohnson@example.com,Howardville,Maine,Indonesia,2025-02-07,ADMIN,1
34,Michael,Clark,janicelee@example.org,Jonesbury,Louisiana,Antarctica (the territory South of 60 deg S),2026-05-15,ADMIN,1
35,Tammy,Turner,wdyer@example.org,North Jasonmouth,Nebraska,Solomon Islands,2024-10-28,ADMIN,1
36,George,White,frenchrichard@example.net,Anthonytown,Massachusetts,Seychelles,2024-12-15,ADMIN,0
37,Dominic,Hoover,taylorryan@example.net,Alexanderville,Louisiana,Hungary,2025-05-26,ADMIN,1
38,Kimberly,Thompson,cooktracy@example.org,Muellerberg,New York,Northern Mariana Islands,2024-11-12,ADMIN,0
39,Melanie,Roberts,sally60@example.org,North Erik,Georgia,Panama,2025-05-31,ADMIN,0
40,Amy,Fisher,combsjeffery@example.org,Ruthfurt,North Dakota,Angola,2025-03-20,ADMIN,0
41,Steven,Henry,haneyjames@example.org,West Victoriafurt,Colorado,Cayman Islands,2026-01-21,ADMIN,0
42,Elizabeth,Henderson,wfitzgerald@example.net,Lake Davidstad,North Carolina,Guinea-Bissau,2024-07-18,ADMIN,0
43,Christina,Walton,haleydonald@example.org,East Mariah,Nebraska,Lithuania,2025-10-02,ADMIN,1
44,David,Murray,rgarcia@example.org,Josephchester,Vermont,Greece,2024-07-13,ADMIN,1
45,Michaela,Woods,ryanmary@example.net,West Jamieport,Florida,Hong Kong,2025-01-07,ADMIN,1
46,Brent,Pena,tnoble@example.net,Sheilaborough,Oregon,Italy,2025-06-30,ADMIN,1
47,Jason,Vargas,obruce@example.com,Lake Jeanette,New York,Netherlands,2026-03-09,ADMIN,1
48,Janice,Caldwell,roydonna@example.com,Tylerport,Arizona,Liechtenstein,2026-02-07,ADMIN,0
49,Laurie,Nelson,dgriffin@example.net,Hardystad,Louisiana,Aruba,2024-07-19,ADMIN,1
50,Hannah,Cunningham,scottbest@example.net,West Joseph,Idaho,Netherlands Antilles,2026-03-21,ADMIN,1
51,Nathan,Zimmerman,riveracassandra@example.com,Collinsburgh,Connecticut,Macao,2025-03-25,ADMIN,0
52,Paula,Davis,ktorres@example.net,Mariafurt,North Carolina,Syrian Arab Republic,2025-04-08,ADMIN,1
